RegionID,SizeRank,RegionName,RegionType,StateName,State,City,Metro,CountyName,1/31/2015,2/28/2015,3/31/2015,4/30/2015,5/31/2015,6/30/2015,7/31/2015,8/31/2015,9/30/2015,10/31/2015,11/30/2015,12/31/2015,1/31/2016,2/29/2016,3/31/2016,4/30/2016,5/31/2016,6/30/2016,7/31/2016,8/31/2016,9/30/2016,10/31/2016,11/30/2016,12/31/2016,1/31/2017,2/28/2017,3/31/2017,4/30/2017,5/31/2017,6/30/2017,7/31/2017,8/31/2017,9/30/2017,10/31/2017,11/30/2017,12/31/2017,1/31/2018,2/28/2018,3/31/2018,4/30/2018,5/31/2018,6/30/2018,7/31/2018,8/31/2018,9/30/2018,10/31/2018,11/30/2018,12/31/2018,1/31/2019,2/28/2019,3/31/2019,4/30/2019,5/31/2019,6/30/2019,7/31/2019,8/31/2019,9/30/2019,10/31/2019,11/30/2019,12/31/2019,1/31/2020,2/29/2020,3/31/2020,4/30/2020,5/31/2020,6/30/2020,7/31/2020,8/31/2020,9/30/2020,10/31/2020,11/30/2020,12/31/2020,1/31/2021,2/28/2021,3/31/2021,4/30/2021,5/31/2021,6/30/2021,7/31/2021,8/31/2021,9/30/2021,10/31/2021,11/30/2021,12/31/2021,1/31/2022,2/28/2022,3/31/2022,4/30/2022,5/31/2022,6/30/2022,7/31/2022,8/31/2022,9/30/2022,10/31/2022,11/30/2022,12/31/2022,1/31/2023,2/28/2023,3/31/2023,4/30/2023,5/31/2023,6/30/2023,7/31/2023,8/31/2023,9/30/2023,10/31/2023
74101,15,37013,zip,TN,TN,Nashville,"Nashville-Davidson--Murfreesboro--Franklin, TN",Davidson County,1029.534803,1032.661748,1046.919325,1060.325145,1062.931249,,1082.619457,1103.281945,1103.759035,1096.376681,1076.443626,1085.493964,1087.061577,1103.421817,1103.373931,1113.518877,1133.661967,1150.717611,1159.097036,1151.566031,1144.229948,1157.240361,1149.334816,1157.383377,1161.998535,1168.416728,1179.275154,1186.809009,1204.306356,1208.884539,1209.401079,1211.738479,1211.127441,1195.133367,1196.689132,1178.045467,1195.454419,1197.752961,1228.703863,1240.397906,1251.77458,1248.004905,1237.5242,1238.196534,1237.985916,1234.323032,1216.7796,1220.853382,1238.653557,1249.877967,1265.140081,1262.699408,1276.804366,1273.574727,1281.932687,1297.739065,1305.18028,1295.684196,1284.729223,1280.071116,1298.104758,1301.635633,1310.928959,1325.723287,1330.317342,1338.980146,1330.587177,1349.795353,1357.796744,1360.5768,1363.680731,1360.583266,1370.614312,1367.4439,1381.833892,1389.859156,1404.848558,1426.071675,1466.800905,1497.190726,1512.078042,1514.730607,1525.28063,1537.215385,1566.298939,1584.577426,1608.299488,1618.360783,1634.942614,1675.366894,1719.372618,1742.210666,1727.547356,1707.874558,1691.607341,1706.063958,1707.840789,1713.474885,1695.834972,1712.729218,1734.942107,1738.756473,1728.294506,1718.664961,1719.147947,1703.327217
62046,16,11236,zip,NY,NY,New York,"New York-Newark-Jersey City, NY-NJ-PA",Kings County,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2332.009543,2409.064434,2425
61807,17,10467,zip,NY,NY,New York,"New York-Newark-Jersey City, NY-NJ-PA",Bronx County,,,,,,,,,,,,,,,,,1372.056575,1393.694495,1422.043667,1408.780029,1409.925372,1409.838261,1406.259715,1416.576014,1481.094324,1499.35782,1538.692151,1505.787793,1543.136166,1529.806751,1548.770343,1486.027843,1481.215004,1522.69014,1567.079486,1579.34545,1520.134116,1548.164853,1574.128359,1646.819355,1660.301138,1646.332685,1654.226387,1654.692454,1689.32678,1674.883812,1657.058826,1696.456746,1693.263543,1706.516181,1684.335181,1678.269272,1703.329594,1695.488452,1730.150124,1712.75441,1757.917104,1770.905912,1775.765082,1761.871493,1749.238584,1762.958816,1762.417158,1750.417615,1732.94721,1716.674066,1764.859388,1786.726796,1834.998675,1844.951794,1903.605694,1855.315921,1858.004338,1818.531674,1870.96969,1843.583154,1857.615643,1858.254925,1858.194988,1844.364854,1872.90594,1903.325471,1905.855716,1836.34614,1816.412185,1879.622702,1925.340395,1948.236363,1939.918778,1954.763578,2029.757834,2050.001536,2043.509735,2015.422922,1997.180353,2022.926127,2032.613779,2047.336138,2035.764975,1988.455774,2055.081471,2146.091364,2200.017532,2213.813194,2285.797139,2308.28254
62085,18,11373,zip,NY,NY,New York,"New York-Newark-Jersey City, NY-NJ-PA",Queens County,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1908.227936,1898.414963,1936.180885,1964.314568,1989.528814,2004.340225,1945.301397,1975.040077,1961.073279,1989.159966,2020.452826,2069.461615,2093.607322,2114.491305,2150.765298,2199.975884,2180.689527,2178.816436,2212.362263,2246.894769,2258.048823,2313.134429,2312.639666,2314.938563,2293.08755,2275.30377,2302.614549,2292.01063,2345.635918,2327.636974,2354.711111
62037,19,11226,zip,NY,NY,New York,"New York-Newark-Jersey City, NY-NJ-PA",Kings County,1890.326236,1917.618816,1988.414362,2004.995062,2019.239896,2000.600017,2019.159835,2032.61816,2069.327856,2075.752611,2070.215805,2047.165793,2046.14569,2047.925155,2090.207528,2108.544436,2124.496623,2162.78398,2209.888047,2236.596497,2201.385283,2168.286766,2173.209673,2166.595714,2172.139493,2170.331368,2189.033233,2179.521765,2184.192383,2209.726883,2230.241121,2232.24308,2220.893966,2204.43352,2172.417023,2162.761063,2174.601777,2208.10728,2227.428397,2247.75139,2261.571233,2276.576433,2290.878067,2312.298645,2317.830158,2306.674522,2292.303875,2272.522922,2271.649985,2267.791855,2290.123397,2286.626916,2306.299219,2311.956414,2336.925307,2360.948644,2377.268281,2366.885233,2329.519551,2300.302873,2320.371089,2323.234116,2356.503891,2346.345151,2352.949842,2335.48151,2337.856167,2314.413668,2282.583978,2248.789871,2222.483482,2176.722585,2138.370459,2142.592886,2172.956593,2209.485812,2238.190007,2267.202756,2305.193733,2320.817826,2351.760262,2353.636824,2367.414253,2366.298251,2397.203907,2438.898269,2475.218089,2512.089721,2545.558351,2599.338043,2629.242479,2638.516892,2645.137698,2655.950598,2650.174161,2624.661556,2613.83311,2610.092847,2630.960004,2636.557191,2656.10203,2682.497307,2698.227091,2712.788612,2692.272393,2666.318342
62018,20,11207,zip,NY,NY,New York,"New York-Newark-Jersey City, NY-NJ-PA",Kings County,,,1834.719905,1910.288797,1978.184441,2043.252062,2019.495221,2023.468385,2054.243817,2043.730892,2078.09262,2032.397853,2052.015512,2066.628994,2143.153913,2181.990483,2161.541052,2183.333428,2137.211218,2140.694317,2097.130925,2134.724075,2175.364253,2184.425389,2164.994253,2121.636967,2108.303141,2143.545753,2153.951794,2161.248646,2147.379095,2168.086421,2185.147476,2213.368888,2226.887014,2237.502675,2204.73693,2185.87132,2179.542943,2237.454288,2264.695386,2276.275643,2257.486017,2279.964039,2287.116056,2260.936644,2261.016356,2257.762331,2290.332157,2292.295212,2331.753211,2327.017319,2351.473489,2355.992149,2383.931762,2372.117253,2373.279168,2364.901544,2393.562771,2421.075944,2438.464048,2441.38943,2428.556457,2442.46752,2445.50134,2424.249222,2400.798241,2368.997776,2326.026614,2284.870928,2227.169159,2210.23099,2194.587464,2172.894305,2167.534179,2168.548919,2255.61781,2323.478512,2381.901352,2400.662874,2425.32042,2469.289293,2471.930536,2501.507737,2509.998712,2534.805569,2532.136404,2572.24212,2683.651055,2803.795178,2900.627541,2922.105856,2968.95255,2980.213241,2960.947195,2878.375398,2826.77117,2838.605303,2846.616052,2869.980145,2871.941922,2954.55833,3020.133061,3087.17999,3173.377564,3144.5
70829,21,30044,zip,GA,GA,Lawrenceville,"Atlanta-Sandy Springs-Alpharetta, GA",Gwinnett County,1150.593017,1161.42492,1167.721393,1170.350234,1174.127664,1176.550725,1186.774006,1186.56122,1200.995204,1205.93876,1217.632739,1212.659176,1202.349379,1202.350386,1206.618252,1208.889348,1222.325422,1237.025801,1253.360343,1263.002954,1265.664545,1266.159055,1265.081384,1276.792682,1285.742148,1282.88841,1280.395178,1299.995171,1319.198858,1334.102873,1338.935352,1331.247419,1328.247245,1325.459703,1342.641635,1351.604316,1366.173869,1367.785034,1369.410866,1363.108713,1374.748589,1385.378452,1399.406796,1407.708618,1424.007346,1425.674223,1424.068557,1424.739446,1433.945744,1442.056385,1442.058656,1447.234614,1461.826943,1469.813217,1467.47722,1468.677179,1469.50671,1466.868647,1468.879273,1476.187049,1486.45489,1471.661175,1467.127507,1469.141701,1485.196912,1505.233003,1568.44637,1587.723838,1608.643159,1594.31284,1601.28385,1610.623684,1627.033517,1672.769295,1694.932281,1724.838414,1740.282729,1783.102293,1811.407527,1853.521727,1881.62727,1920.584216,1944.778036,1958.598114,1964.93131,1964.754555,2004.214438,1997.330042,2032.751162,2040.309596,2075.678289,2074.820722,2074.294405,2077.822046,2052.291172,2094.44073,2085.734851,2150.382955,2140.841404,2172.015274,2162.537104,2142.67583,2098.446318,2099.11762,2038.332588,2056.7511
96025,22,90044,zip,CA,CA,Los Angeles,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles County,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1757.894308,1770.31486,1736.468963,1699.934042,1677.508133,1676.855534,1743.375855,1768.719297,1823.011852,1811.672714,1850.697957,1845.689791,1826.774017,1818.8743,1840.092309,1940.943679,2008.373157,2024.065121,1940.223252,1955.57104,1998.474827,2081.676394,2104.40587,2090.567069,2038.784565,2083.25666,2147.755407,2209.694594,2186.329489,2184.22656,2199.605598,2307.711111
96817,23,92336,zip,CA,CA,Fontana,"Riverside-San Bernardino-Ontario, CA",San Bernardino County,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2853.291587,2901.757164,2914.517332,2960.245549,3067.962357,3102.794576,3123.166534,3098.4901,3137.037223,3139.762771,3134.344653,3101.03928,3169.699742,3288.505742,3307.501248,3248.805654,3128.46433,3101.810019,3126.841987,3168.058816,3337.475912,3398.257071,3441.587972,3336.481593,3378.587302
97771,24,94565,zip,CA,CA,Pittsburg,"San Francisco-Oakland-Berkeley, CA",Contra Costa County,1591.212752,1601.774688,1627.926019,1591.775003,1594.515056,1613.382387,1655.182617,,1648.147695,1666.678172,1670.649536,1681.581929,1693.899707,1715.586811,1742.412517,1743.14311,1763.415915,1786.898793,1764.810702,1788.878402,1795.23284,1839.458343,1852.245947,1881.979813,1892.630026,1892.112896,1883.141479,1892.875682,1882.226387,1913.396778,1939.395269,1985.916884,1979.223307,1988.693663,1990.243725,2000.975987,2000.458719,2037.284214,2028.311895,2045.490608,2026.808089,2050.60446,2045.050577,2047.777204,2067.090692,2113.216407,2164.807397,2181.176266,2200.30619,2224.759382,2250.473823,2232.654057,2202.309227,2214.163958,2231.263017,2223.590466,2213.567328,2232.437144,2254.935216,2315.269787,2333.029377,2362.529675,2334.181744,2320.788197,2288.848383,2288.300846,2329.495423,2356.944758,2375.031446,2376.718556,2365.924835,2341.946017,2358.605597,2411.686386,2457.664025,2449.81829,2465.527264,2479.736651,2526.492163,2514.162789,2547.859668,2533.601998,2554.826836,2558.050246,2581.805344,2594.576541,2614.457706,2608.368924,2658.082006,2651.293941,2676.959248,2672.886845,2689.152997,2713.674031,2719.762592,2734.934863,2733.827963,2719.091479,2726.377534,2704.646316,2710.588201,2702.565861,2748.221912,2777.028063,2802.022367,2782.941071
