RegionID,SizeRank,RegionName,RegionType,StateName,State,Metro,StateCodeFIPS,MunicipalCodeFIPS,2015-01-31,2015-02-28,2015-03-31,2015-04-30,2015-05-31,2015-06-30,2015-07-31,2015-08-31,2015-09-30,2015-10-31,2015-11-30,2015-12-31,2016-01-31,2016-02-29,2016-03-31,2016-04-30,2016-05-31,2016-06-30,2016-07-31,2016-08-31,2016-09-30,2016-10-31,2016-11-30,2016-12-31,2017-01-31,2017-02-28,2017-03-31,2017-04-30,2017-05-31,2017-06-30,2017-07-31,2017-08-31,2017-09-30,2017-10-31,2017-11-30,2017-12-31,2018-01-31,2018-02-28,2018-03-31,2018-04-30,2018-05-31,2018-06-30,2018-07-31,2018-08-31,2018-09-30,2018-10-31,2018-11-30,2018-12-31,2019-01-31,2019-02-28,2019-03-31,2019-04-30,2019-05-31,2019-06-30,2019-07-31,2019-08-31,2019-09-30,2019-10-31,2019-11-30,2019-12-31,2020-01-31,2020-02-29,2020-03-31,2020-04-30,2020-05-31,2020-06-30,2020-07-31,2020-08-31,2020-09-30,2020-10-31,2020-11-30,2020-12-31,2021-01-31,2021-02-28,2021-03-31,2021-04-30,2021-05-31,2021-06-30,2021-07-31,2021-08-31,2021-09-30,2021-10-31,2021-11-30,2021-12-31,2022-01-31,2022-02-28,2022-03-31,2022-04-30,2022-05-31,2022-06-30,2022-07-31,2022-08-31,2022-09-30,2022-10-31,2022-11-30,2022-12-31,2023-01-31,2023-02-28,2023-03-31,2023-04-30,2023-05-31,2023-06-30,2023-07-31,2023-08-31,2023-09-30,2023-10-31
3101,0,Los Angeles County,county,CA,CA,"Los Angeles-Long Beach-Anaheim, CA",06,037,1822.0892738807145,1834.7970577566414,1852.3547502897054,1866.8958879190677,1883.1380694565273,1893.937151209083,1908.8802298893613,1919.562658519429,1932.2216045049277,1937.344070857743,1944.3905497200678,1950.9998961481351,1962.4908879255145,1976.5952840308792,1992.1678465025284,2006.1548122828108,2019.2117082904228,2029.9383804337563,2039.023105765586,2046.0923083696844,2052.457749368566,2053.729396229814,2050.9843027522866,2049.5751447800485,2068.4825451745232,2089.3665548405866,2116.4811007407648,2128.3647966179897,2143.984118492753,2153.752027009,2164.4785018138546,2170.9867070826585,2176.559810114464,2179.3824026792627,2183.4963006466346,2189.4620645183095,2199.2746377402364,2213.0107412618863,2224.302094372148,2236.9076029405915,2247.1034114857803,2260.562809223029,2272.1624359825573,2282.9287349777046,2289.3345621730105,2294.0862893314434,2299.4972881859844,2304.190016846067,2310.725201807711,2314.9606274092343,2328.3982976968123,2340.016677708511,2353.503729097746,2363.6902659633897,2372.2725404488283,2379.1301080052262,2382.1426599325305,2383.6215850473254,2384.514749761025,2387.974140029018,2395.2825353941134,2400.2026190529773,2400.9774420372783,2390.7801525175078,2381.3981447520086,2374.197542906953,2374.3030036674654,2373.0646074980623,2369.399543254932,2366.485017792034,2366.1409756048274,2363.7782601103618,2363.1845491753343,2366.069189339589,2376.37587632069,2389.9873497551193,2410.3884042661043,2443.3735608953484,2483.0640886206575,2527.2258360812457,2560.8811689452677,2587.1743653193607,2601.255168029021,2619.5849777769145,2638.178375389722,2664.764653214781,2689.0500558671447,2716.592570460426,2743.476372513584,2766.0127302023543,2788.0687654969583,2806.4629441185884,2819.043974653237,2819.957712877488,2814.2225430405215,2810.446780671842,2808.538955483138,2817.811624545457,2826.471516780327,2840.353828733405,2843.9997701146644,2852.808078609133,2860.2311587068125,2869.031409633297,2871.300851542878,2869.1576134652055
139,1,Cook County,county,IL,IL,"Chicago-Naperville-Elgin, IL-IN-WI",17,031,1444.0590487091445,1453.8388493666605,1465.6114272846996,1475.4747690561533,1486.9447858775218,1496.2452849927965,1502.407113606934,1505.099201117545,1499.4449952422879,1490.955061820629,1482.6277389930892,1481.9974502984667,1491.4852760195486,1502.2376931407393,1515.6160785769125,1524.15253473604,1534.2896715883742,1544.835351328223,1552.5226232565346,1557.3067455401413,1549.60024001681,1534.2494354029752,1513.893952035601,1502.3312535907926,1512.3722839327936,1532.2183066744058,1555.269962193604,1567.0073311836225,1578.1345354464975,1584.254757805815,1586.0154407110892,1580.7116182239631,1572.3431220097389,1560.323660431559,1551.0702652760267,1550.1642183171753,1559.26093686624,1572.934858800301,1585.074119639217,1595.8784051455748,1606.2566168848925,1615.4465276412739,1619.9350814867557,1616.569543124331,1604.3690454675589,1591.425776857948,1583.709744137172,1584.0017024844435,1593.0819203361868,1604.4297523570572,1621.6212976200188,1635.7428769476387,1647.8205507117887,1655.9467757608638,1659.5343927459578,1661.3085584821877,1655.9755061695282,1647.6476725289074,1637.9324832741647,1632.115650796955,1641.3324212143198,1653.7986330997715,1668.2367084306968,1668.0218956004642,1665.8125938092026,1661.931623897948,1659.627027344451,1650.4052076866233,1632.0218510186132,1606.6698782352382,1585.7431268009088,1575.014968498955,1572.5293044437037,1581.1899354733948,1600.4610892454173,1631.151447431319,1661.4237508506724,1686.7838794319994,1704.3092037929912,1715.432513936274,1718.674275618206,1718.2315720552879,1716.1508102970643,1722.4266325877993,1737.488958465652,1757.9338122477434,1780.9282074400312,1803.737283349715,1828.5922629158813,1848.50429617276,1865.308472109953,1871.278896993565,1871.1591865833839,1868.4009163397545,1863.5763074162805,1866.3158761319805,1873.9327049310161,1887.336387836153,1901.8577794320888,1919.4893644821332,1944.236337606953,1965.3753983276586,1976.764698511444,1981.8108171515503,1976.7525590129374,1964.4910524658692
1090,2,Harris County,county,TX,TX,"Houston-The Woodlands-Sugar Land, TX",48,201,1219.737249586967,1223.4423972375603,1229.7069963863942,1241.7710938919065,1251.6393371708928,1261.3109230997918,1262.0825566132758,1262.9532850350101,1258.125057816317,1254.564149161402,1251.4288667111034,1251.4485069893046,1253.0249243068401,1254.7048098848504,1260.034103387219,1265.222483090094,1269.1949405347216,1269.0230808418814,1266.446688503113,1261.1345309570647,1253.3176861253744,1242.9362582107135,1232.5552601723518,1226.749280028599,1235.3194867612997,1249.47796497579,1264.501195811927,1268.3714072691212,1276.1863692279614,1276.7366159592075,1277.6713118846708,1273.010367677603,1280.548256479524,1289.371893300112,1301.3783936589955,1310.196768331567,1311.9013834481082,1317.3116686086246,1316.1863441750188,1325.3167220267462,1326.8932469962974,1332.851093814987,1331.6490169370452,1330.5889824483766,1326.3828495521263,1325.202150775648,1327.0913831369485,1327.099632548486,1328.133151654759,1325.8682029036668,1331.564898630113,1337.3791400866762,1347.4662929785238,1354.6423983244083,1358.5308049251166,1357.624094172701,1354.13843427028,1353.0882316331645,1352.718404308911,1356.253002951074,1359.5975151028306,1366.4391825047142,1372.3874306489467,1368.8770018466946,1361.9923335973817,1354.5165294741844,1358.0058407370423,1361.238307269653,1362.2341399413208,1363.1827791309918,1365.9395749936318,1366.238897256268,1366.0109832053565,1361.7005747846013,1366.9181021098912,1378.9575507509894,1402.077739833654,1429.349221501529,1454.272459266723,1476.4701312949994,1489.9465702820787,1498.4825743082154,1502.9990153895317,1507.0225587890995,1514.3026688970003,1523.761915506999,1533.9452489212508,1544.2631594236177,1554.9147070534982,1569.2151162807713,1580.8871216246519,1588.6001869953934,1585.615059993842,1581.2944455718662,1578.5084316373461,1577.1262877496886,1585.4606861667887,1592.1517852162688,1602.1157863076571,1604.6342846483496,1613.055133521895,1622.6904954061604,1629.7647676804297,1630.7363344187181,1628.8774777008782,1624.2089521843593
2402,3,Maricopa County,county,AZ,AZ,"Phoenix-Mesa-Chandler, AZ",04,013,978.4524073700472,994.2756706415076,1002.7304480892014,1015.7301720760798,1015.683964196598,1023.0427428340565,1023.3523060939367,1025.1493714565215,1028.6310592248994,1031.5559463506781,1034.64562845487,1036.101325188263,1041.7940816991202,1047.4731165069563,1055.9747326091938,1069.91609675349,1079.892082165928,1087.4603923123805,1084.5344060348552,1084.436357828565,1085.1718726277109,1086.2512837186587,1088.1750345796597,1088.505030945956,1093.1552313756943,1100.6077526903082,1112.003940997689,1122.8805213890705,1133.5170133280662,1140.8615118830733,1146.1032745603047,1148.7491875382843,1151.2281004847869,1155.0118311369488,1157.870315362983,1160.2797057093899,1163.087802405818,1170.6712763425985,1183.436207058418,1197.9575032618488,1209.3711162343407,1217.833836882694,1225.2551459502536,1231.2231880317875,1237.0219135278642,1241.3992216665463,1246.8338482549893,1252.7880545379635,1256.8046151409392,1265.9831834430784,1276.5951270869923,1292.7124377101045,1305.1609316917177,1316.9472865471253,1326.157306109669,1334.3648735724134,1340.1512314117754,1343.591150948405,1348.824655932436,1355.6560162150854,1365.8869012693247,1376.034116292665,1382.2224625931676,1381.2621178500767,1379.0881935019136,1382.225326805342,1395.9356283073193,1415.2908849756163,1433.370342090693,1449.735054204558,1463.1505060294319,1473.4531501596261,1485.436247344616,1497.8823311841816,1521.119816944937,1551.9007867213827,1597.718207994929,1649.9096570574518,1703.5420103055646,1749.6065924625077,1783.1272887407147,1805.6857156839774,1820.1377137772297,1830.6531493917432,1841.2109269058863,1851.289848028822,1866.7146223654975,1879.434314953797,1891.6808462669576,1899.476837581634,1905.499441947794,1903.6822334838218,1896.7595620103375,1886.4639298839325,1877.5132554298507,1871.3400485007012,1869.561366717312,1874.650363903908,1887.1672539846818,1896.5312179549117,1903.4157347386204,1903.1763111372627,1905.7817112684,1905.216099377249,1902.3233869929843,1897.0481211704366
2841,4,San Diego County,county,CA,CA,"San Diego-Chula Vista-Carlsbad, CA",06,073,1746.5460445362983,1757.0226465252476,1767.8978660562539,1769.4550730391059,1780.7131136278094,1790.3626641694475,1808.324909598455,1820.0025917664284,1829.0687805531009,1833.686784969986,1830.9050755046117,1837.9936791224854,1842.219950249853,1854.343614375538,1864.8081297546132,1877.8940711617506,1894.3290497333278,1908.9040925627362,1919.9523130628484,1921.5897569487618,1923.3790213464927,1925.706236090521,1927.657901056038,1930.5007147680915,1938.399129718464,1956.2495798127325,1975.4710170008182,1993.6974522427374,2010.006156239119,2022.4789281680403,2033.6541624999961,2039.3256178670915,2043.1354113221378,2044.7915083434373,2045.9039304802748,2047.3485470702537,2056.941195402993,2069.4032025136917,2084.10433786453,2096.8665979650245,2114.15359371462,2126.855119859712,2136.699439297313,2145.9808800539386,2152.0716815521464,2154.0842293147048,2147.5197677157685,2149.7573272570016,2154.408683721174,2161.6673626722713,2167.167525890619,2177.3542189807304,2190.109451047745,2204.6251508600785,2217.2928310492757,2227.992932202212,2229.6715578707403,2230.803029357922,2228.3290042999824,2233.5739403887574,2237.4967664037667,2245.404608974737,2250.0422441160267,2240.8869371855008,2232.7950351877876,2229.218562856425,2242.4491501679463,2253.7345325266947,2266.7798426426625,2283.483035132617,2300.03530496754,2310.5846382550794,2315.9291969618566,2326.6045216258985,2347.8155365667017,2384.5759895373726,2424.589166583693,2471.1563148632954,2522.2315767339264,2580.8989485516345,2637.143723446298,2671.6223292055333,2694.0749744595937,2712.4758538675637,2731.8092388107334,2760.893949798116,2792.076693001771,2840.5331501990336,2888.7708330514206,2938.3613101822657,2976.2506648538006,3005.6984472870877,3011.7896450021854,3004.112142329091,2984.7019717903972,2972.458477334713,2964.917219391718,2970.5500985183303,2993.066800044739,3027.9792200193397,3066.7136388703307,3095.0418281374327,3114.2916624141294,3122.037630306047,3118.649886699048,3102.252779586915
1286,5,Orange County,county,CA,CA,"Los Angeles-Long Beach-Anaheim, CA",06,059,1979.6527940463602,1988.7532827443604,1996.9374446603103,2010.9981182711397,2023.1218940341855,2037.7829856325984,2048.190402806539,2058.432055364182,2061.647032047878,2066.9111649626598,2065.146780415274,2071.017983042472,2077.6218690568858,2088.59387387385,2092.849653710538,2098.357106684072,2114.140871447023,2132.6024536056766,2144.0633108624406,2143.2342476924755,2145.193722328736,2136.1390431494224,2141.329383428933,2135.754722512275,2156.6864540889337,2170.5922978660933,2193.430166133251,2206.9843161136755,2216.251479157826,2227.151742656689,2233.5095330437257,2238.6577660390362,2239.0602284166403,2235.68568880297,2240.659566827021,2242.970649431142,2253.5025912897972,2256.1592669111524,2268.9251209981635,2277.108152536562,2287.0375068674944,2292.732288843225,2298.8977125421447,2300.416730453307,2302.78391504659,2305.986741926208,2312.391974820637,2315.6642870705246,2317.7128067843178,2324.198269581151,2332.1117991450596,2340.6003995400397,2348.597136812576,2356.1888185780917,2365.696779479915,2370.4273934226003,2374.9743307525187,2374.350939140499,2379.55690049612,2381.8426325620685,2393.8219342291113,2400.676064201409,2404.2708795077674,2384.79414628203,2365.6367012104165,,,2373.2878738566624,2388.7280550583996,2404.5746251703104,2418.3117337983786,2428.9867338489544,2441.249175376357,2456.7181543280303,2478.1545882575697,2499.5264193105136,2529.168774998219,2577.4956770490207,2653.585848835136,,2828.3853323220897,2878.5164889723446,2901.4014854431716,2917.277128562625,2933.9710987736,2955.0096828781507,2983.444204024549,3014.213347892829,3044.798893342723,3071.6336557234745,3093.3842055179625,3104.759703878476,3100.2999086891887,3086.5783571401626,3072.715512242062,3060.7211678878157,3054.886482739359,3056.45006872615,3066.2013059696733,3083.7766654615943,3101.0608807105,3122.4975361807687,3154.7053869512647,3185.779928913294,3199.563370105592,3199.508650015809
581,6,Kings County,county,NY,NY,"New York-Newark-Jersey City, NY-NJ-PA",36,047,2347.9947037754237,2361.661447093748,2383.1866517755566,2406.5020067362684,2429.682148162414,2461.948731945382,2481.160669159492,2492.2383721749356,2505.4276045878296,2514.9307932985107,2506.249507078445,2478.974980312374,2466.0307778352876,2469.7069550060237,2488.3362400535752,2497.139547506704,2504.791282589906,2519.6303640016854,2536.257397389788,2549.263760678062,2551.0618095141817,2548.01171038413,2546.848039433651,2533.8237406637486,2526.7676674288527,2515.9217372427006,2521.070051350181,2530.5924100985108,2546.7627858037604,2563.2437355667885,2579.0752278669393,2593.470906238175,2592.410348423374,2573.305152894118,2553.1790171660145,2540.5046019386973,2541.3765632916625,2541.0894504888256,2554.0312632989157,2571.970757164183,2593.944542763861,2609.1358926135836,2620.880887799022,2631.1692095122953,2630.3842022817057,2622.2995828469734,2606.6074969449105,2593.1749623698465,2594.508049245568,2607.4060106031634,2630.7154482352375,2649.0615928967713,2673.544015891883,2691.8450357831202,2714.855189458071,2731.088985476627,2746.343645629834,2749.823758310744,2744.5385550166598,2735.133744631139,2736.113085315147,2747.05633548761,2763.7413075368163,2755.939587853291,2735.680494544952,2704.645683438374,2681.1476723571573,2645.435756112397,2596.3306203755697,2551.4402588415805,2519.329881736747,2498.550282255,2493.384092338686,2498.453370732377,2524.8957370535604,2556.790467013935,2596.5022461577637,2646.1807032164515,2701.0687198570545,2758.0039413318573,2808.679422571287,2833.09610981017,2855.2733544982198,2861.3334813955785,2893.4045398348826,2930.2197075130225,2984.0940986364662,3035.868398965825,3097.87973858232,3166.1029826856557,3226.9777780943828,3269.228837649673,3277.804496744368,3267.4388898292164,3224.527421151986,3190.9103506022175,3178.9718158301343,3194.844529620705,3214.611925495323,3244.0877079236607,3283.7435526349323,3329.7605009720537,3361.899810748022,3377.266484543928,3384.664294953964,3366.0466815323452
2964,7,Miami-Dade County,county,FL,FL,"Miami-Fort Lauderdale-Pompano Beach, FL",12,086,1672.4077790642248,1683.6104675855524,1696.9017276329396,1707.5708676413597,1719.418601246718,1727.2705672567806,1733.8190804819383,1740.1927958179074,1749.9083906008195,1752.4599712485797,1756.7343915127203,1760.3632222626793,1768.9059422755895,1772.8864783509089,1774.5281030110123,1773.8619139530826,1774.7671035865676,1773.4701550420586,1772.4774420256447,1770.5194665424833,1770.2038641941278,1767.3009717678615,1764.1643470486786,1754.9898591436256,1759.8834317983324,1765.0096028027197,1777.804140082377,1778.9494322769688,1782.1577318007924,1784.657158311455,1787.5336692040974,1790.0393440275589,1792.2032719670049,1796.5352124362423,1797.0829224146678,1797.856171109907,1798.9806868739245,1803.4775384541094,1808.652072181871,1814.7279756673554,1817.5624079247223,1824.3663710742721,1828.5302343535498,1834.9239740821479,1838.0206912728993,1841.565054000904,1844.3175434163104,1847.4785551850596,1848.9789012809285,1849.1193653268874,1851.0138724654116,1855.9893191339197,1861.3094551448994,1864.936625040943,1865.3313115806945,1868.7854209864706,1869.9669552125274,1879.6534192788577,1889.86588970273,1901.5945059619064,1906.3347101874929,1908.3380051949619,1908.1163760307961,1896.1329411067723,1883.6332574006,1875.9670579198917,1878.1468357945898,1878.883034020529,1875.9606345863165,1881.25522692298,1897.5844080317909,1915.7160149942283,1943.1871956105667,1974.8492161132685,2013.880902884946,2051.7255025113377,2102.4550437031967,,2238.5003969741033,2302.9396579121167,2362.6078473674484,2412.5424090543097,2457.3549632671516,2515.451606016572,2569.4718352453015,2637.6514190718385,2700.996183722808,2764.916340287554,2815.9417033640966,2843.2523649352993,2865.183489292899,2872.0274777591603,2879.019633762181,2871.598148280876,2871.3456167848944,2872.282883316009,2880.230099689734,2891.938201712074,2905.5798752076116,2921.9835132386384,2926.1091265573887,2925.212642584486,2923.0302114854962,2916.3972582678957,2912.785552881737,2911.028670882192
978,8,Dallas County,county,TX,TX,"Dallas-Fort Worth-Arlington, TX",48,113,1082.0226446341792,1085.4063537370848,1092.270781834945,1106.0733358960579,1119.3502418944581,1129.2802763380575,1137.3515830066908,1139.8758492657676,1141.5681023643394,1144.5230277156163,1149.7739414360653,1154.2381089968753,1155.5978371991366,1160.4233332435115,1166.7896068377672,1177.0344198756566,1185.154542877267,1195.6874044806834,1199.7086459659595,1202.5333080058354,1201.2894707113542,1198.965871351867,1202.3425143305276,1203.9029454868958,1219.3303013223308,1224.9564144080352,1239.5661590817322,1245.8829989035903,1258.6375523638287,1262.8632515210932,1267.834665485655,1268.4494719723075,1269.409873156435,1267.7078783233512,1273.9549487019449,1277.753138522823,1282.1913320888352,1288.9197577546292,1293.0124350724195,1297.2574972879258,1297.157539654666,1308.8678734142718,1314.8436679615859,1319.627897830117,1312.8578959067688,1315.7434018983843,1316.2364552795684,1320.824243556629,1324.539418268956,1328.7574069867997,1337.8809659721476,1345.5546442572988,1353.8869593805534,1364.7668811258325,1368.514733864722,1372.6100784346547,1371.932451605813,1371.4524520882057,1366.828187775979,1360.5952452705458,1364.069278158165,1370.2168826851841,1377.2830687817864,1376.1232726401915,1372.7787862475182,1370.829192679127,1371.3150548904503,1373.8972350138617,1377.5411248349758,1382.7076073959838,1386.351442943392,1389.3422271270597,1386.355583059724,1390.655117856259,1398.3840589058743,1421.2335601277416,1448.4186048257347,1481.3200099138494,1514.77237409455,1545.0094737497577,1570.5958573578546,1584.098547484223,1594.76873416363,1602.154261551168,1616.9127110775933,1633.8256141771874,1645.9641342744274,1666.2905850339182,1689.546302281213,1726.3808324740696,1748.5395563132406,1757.3830038677595,1752.612915521882,1740.852970336132,1729.4916546797147,1718.3395295697426,1715.724643178765,1719.7090525777382,1725.6840197660622,1732.6001230822458,1739.4960654140525,1749.6818978252986,1755.614618896245,1757.2272038645206,1752.2957868511369,1746.4543655253399
2832,9,Riverside County,county,CA,CA,"Riverside-San Bernardino-Ontario, CA",06,065,1410.757195916699,1414.8771943448935,1417.1516809039813,1424.9287802077322,1431.3578388286905,1443.8983299023637,1453.0159233629975,1460.0104716907626,1465.8071036164945,1473.0757530306337,1477.5796411882216,1481.6854955644067,1481.24366643658,1488.7165630997547,1492.1640816750996,1501.6676859391202,1507.942953342608,1510.4983952807484,1514.899230452876,1520.2684244250963,1536.156113036292,1536.2619331711642,1543.100770156102,1538.7591314733065,1555.1460541266235,1563.2653798864023,1577.193164035291,1586.263592030232,1593.909269823608,1605.018130624131,1614.9964613021568,1628.1233750463587,1635.3822794012808,1641.1036191045011,1646.2158505040093,1649.0930533983892,1654.471204797178,1662.169088125834,1673.1512092763369,1678.4602469245756,1682.947336496937,1691.394372394244,1700.8932041166677,1712.2932775969437,1723.7353777304022,1737.003769616642,1743.582889232244,1748.959880297335,1750.8016452901647,1753.6973052727476,1758.6362522927493,1767.8057285131056,1777.8094904380057,1787.1185042518157,1794.5925191170422,1805.115288342911,1812.28133234682,1820.7111752363655,1822.7177235623803,1829.4266809073395,1831.132739550168,1839.621088431322,1841.2782523006929,1837.0048050306314,1830.8915046842105,1836.9448514614292,1857.769453598548,1891.6595828520685,1922.862458819348,1954.386381286146,1983.003457321438,2005.7701427865047,2027.099323167756,2048.624546526745,2076.559490020457,2098.4421440619058,2139.67265903305,2180.0857793471787,2239.6842228078963,2280.2985454509026,2322.3055871694937,2341.8612238711244,2364.6229932956016,2373.6304212777245,2399.4009741357145,2412.3910379408376,2445.7305050191976,2464.9820715466235,2486.3376507854027,2500.505489135145,2518.1301405709387,2530.8572868921783,2535.966132122275,2530.1589951584297,2524.3520932157735,2515.21093351858,2516.796679691899,2520.1592595636175,2524.59569756426,2530.086035930301,2533.418913845235,2539.891038103074,2541.249090171623,2551.849682978947,2555.575310415458,2582.1159615853603
